Protein,go_term_type,go_term
P05496,Component,mitochondrion
P05496,Component,"proton-transporting ATP synthase complex, coupling factor F(o)"
P05026,Component,apical plasma membrane
P05026,Component,basolateral plasma membrane
P05026,Component,caveola
P05026,Component,extracellular exosome
P05026,Component,extracellular vesicle
P05026,Component,intercalated disc
P05026,Component,membrane
P05026,Component,myelin sheath
P05026,Component,plasma membrane
P05026,Component,sarcolemma
P05026,Component,sodium:potassium-exchanging ATPase complex
P0DMR3,Component,cytoplasm
Q01814,Component,cell junction
Q01814,Component,cytoplasm
Q01814,Component,extracellular exosome
Q01814,Component,GABA-ergic synapse
Q01814,Component,glutamatergic synapse
Q01814,Component,integral component of plasma membrane
Q01814,Component,plasma membrane
Q01814,Component,postsynaptic density membrane
Q01814,Component,presynapse
Q9Y5I7,Component,bicellular tight junction
Q9Y5I7,Component,integral component of membrane
Q9Y5I7,Component,plasma membrane
Q96QE3,Component,Elg1 RFC-like complex
Q96QE3,Component,nucleus
O75185,Component,Golgi membrane
O75185,Component,integral component of membrane
P57739,Component,bicellular tight junction
P57739,Component,integral component of membrane
P57739,Component,plasma membrane
H7C241,Component,bicellular tight junction
H7C241,Component,integral component of membrane
H7C241,Component,plasma membrane
P18846,Component,ATF1-ATF4 transcription factor complex
P18846,Component,nucleoplasm
P18846,Component,nucleus
P18846,Component,transcription factor complex
Q86WG3,Component,axon
Q86WG3,Component,cell junction
Q86WG3,Component,cytoplasm
Q86WG3,Component,dendrite
Q86WG3,Component,mitochondrial membrane
Q86WG3,Component,neuron projection
Q86WG3,Component,synapse
P56748,Component,apicolateral plasma membrane
P56748,Component,basolateral plasma membrane
P56748,Component,bicellular tight junction
P56748,Component,endoplasmic reticulum
P56748,Component,integral component of membrane
P56748,Component,plasma membrane
Q9ULI0,Component,nucleoplasm
Q9ULI0,Component,nucleus
Q9NVI7,Component,integral component of membrane
Q9NVI7,Component,mitochondrial inner membrane
Q9NVI7,Component,mitochondrial nucleoid
Q9NVI7,Component,mitochondrion
O94817,Component,Atg12-Atg5-Atg16 complex
O94817,Component,autophagosome
O94817,Component,cytosol
O94817,Component,phagocytic vesicle membrane
O94817,Component,phagophore assembly site membrane
O95260,Component,cytoplasm
O95260,Component,nucleus
Q13795,Component,cytosol
Q13795,Component,Golgi apparatus
Q13795,Component,membrane
Q13795,Component,trans-Golgi network
Q13795,Component,trans-Golgi network membrane
Q9NZN5,Component,cytoplasm
Q9NZN5,Component,cytosol
Q9NZN5,Component,extracellular exosome
Q9NZN5,Component,membrane
O95376,Component,cytoplasm
O95376,Component,nucleoplasm
O95376,Component,nucleus
O95376,Component,ubiquitin ligase complex
Q99856,Component,cytosol
Q99856,Component,intracellular membrane-bounded organelle
Q99856,Component,membrane raft
Q99856,Component,nucleoplasm
Q99856,Component,nucleus
P29374,Component,cytosol
P29374,Component,nucleoplasm
P29374,Component,nucleus
P29374,Component,plasma membrane
P29374,Component,transcriptional repressor complex
Q8IZ52,Component,cytosol
Q8IZ52,Component,Golgi cisterna membrane
Q8IZ52,Component,Golgi membrane
Q8IZ52,Component,integral component of membrane
Q8IZ52,Component,mitochondrial matrix
O43916,Component,Golgi membrane
O43916,Component,integral component of membrane
O43916,Component,trans-Golgi network
Q9GZX3,Component,Golgi apparatus
Q9GZX3,Component,Golgi membrane
Q9GZX3,Component,integral component of membrane
Q9GZX3,Component,trans-Golgi network
Q9NPF2,Component,Golgi membrane
Q9NPF2,Component,integral component of membrane
Q9NPF2,Component,membrane
Q86WX3,Component,cytosol
Q86WX3,Component,nucleolus
Q86WX3,Component,nucleoplasm
Q86WX3,Component,nucleus
Q9NZ32,Component,azurophil granule lumen
Q9NZ32,Component,cytosol
Q9NZ32,Component,dynactin complex
Q9NZ32,Component,extracellular region
Q9NZ32,Component,ficolin-1-rich granule lumen
P56211,Component,cytoplasm
P56211,Component,nucleoplasm
P61158,Component,actin cytoskeleton
P61158,Component,Arp2/3 protein complex
P61158,Component,brush border
P61158,Component,cell-cell junction
P61158,Component,cytoplasm
P61158,Component,cytosol
P61158,Component,extracellular exosome
P61158,Component,focal adhesion
P61158,Component,lamellipodium
P61158,Component,membrane
P61158,Component,nucleus
P61158,Component,site of double-strand break
Q5W0N0,Component,integral component of membrane
O15144,Component,actin cytoskeleton
O15144,Component,Arp2/3 protein complex
O15144,Component,cytosol
O15144,Component,endosome
O15144,Component,extracellular exosome
O15144,Component,focal adhesion
O15144,Component,glutamatergic synapse
O15144,Component,lamellipodium
O15144,Component,muscle cell projection membrane
O15144,Component,neuron projection
O15144,Component,nucleus
O15144,Component,site of double-strand break
P49407,Component,basolateral plasma membrane
P49407,Component,chromatin
P49407,Component,clathrin-coated pit
P49407,Component,cytoplasm
P49407,Component,cytoplasmic vesicle
P49407,Component,cytoplasmic vesicle membrane
P49407,Component,cytosol
P49407,Component,dendritic spine
P49407,Component,endosome
P49407,Component,Golgi membrane
P49407,Component,lysosomal membrane
P49407,Component,nuclear body
P49407,Component,nucleoplasm
P49407,Component,nucleus
P49407,Component,plasma membrane
P49407,Component,postsynaptic density
P49407,Component,postsynaptic membrane
P49407,Component,pseudopodium
Q8N365,Component,nucleus
Q8N365,Component,PML body
P32121,Component,basolateral plasma membrane
P32121,Component,clathrin-coated pit
P32121,Component,cytoplasm
P32121,Component,cytoplasmic vesicle
P32121,Component,cytosol
P32121,Component,dendritic spine
P32121,Component,endocytic vesicle
P32121,Component,endosome
P32121,Component,intracellular membrane-bounded organelle
P32121,Component,nucleus
P32121,Component,plasma membrane
P32121,Component,postsynaptic density
P32121,Component,postsynaptic membrane
P15848,Component,azurophil granule lumen
P15848,Component,cell surface
P15848,Component,endoplasmic reticulum lumen
P15848,Component,extracellular exosome
P15848,Component,extracellular region
P15848,Component,ficolin-1-rich granule lumen
P15848,Component,Golgi apparatus
P15848,Component,lysosomal lumen
P15848,Component,lysosome
P15848,Component,mitochondrion
P15848,Component,rough endoplasmic reticulum
P36575,Component,cytoplasm
P36575,Component,photoreceptor inner segment
P36575,Component,photoreceptor outer segment
P36575,Component,synapse
Q96RK0,Component,intracellular membrane-bounded organelle
Q96RK0,Component,nucleoplasm
Q96RK0,Component,nucleus
Q96RK0,Component,protein-containing complex
P51689,Component,endoplasmic reticulum lumen
P51689,Component,lysosome
P54793,Component,endoplasmic reticulum lumen
P54793,Component,extracellular exosome
Q96EG1,Component,endoplasmic reticulum
Q96EG1,Component,endoplasmic reticulum lumen
Q96EG1,Component,extracellular space
Q96EG1,Component,lysosome
Q5FYB0,Component,endoplasmic reticulum lumen
Q5FYB0,Component,extracellular region
Q6UWY0,Component,endoplasmic reticulum lumen
Q6UWY0,Component,extracellular region
Q8IUL8,Component,extracellular exosome
P0C7U1,Component,extracellular region
Q9NR71,Component,extracellular region
Q9NR71,Component,integral component of membrane
Q9NR71,Component,mitochondrion
Q9NR71,Component,plasma membrane
Q8WWX0,Component,cytosol
Q9NWX5,Component,cytosol
Q8N9N2,Component,neuromuscular junction
Q8N9N2,Component,nuclear speck
Q8N9N2,Component,nucleoplasm
Q8N9N2,Component,nucleus
Q8N9N2,Component,transcription factor complex
Q8WXH4,Component,cytosol
Q8WXH4,Component,endoplasmic reticulum
Q99929,Component,cytoplasm
Q99929,Component,nucleus
Q99929,Component,RNA polymerase II transcription factor complex
Q7RTU5,Component,RNA polymerase II transcription factor complex
Q8WXK1,Component,cytosol
Q96NS5,Component,cytosol
Q8WXJ9,Component,cytosol
Q6ZVZ8,Component,cytosol
Q9NVP2,Component,nuclear chromatin
Q9NVP2,Component,nucleoplasm
Q9NVP2,Component,protein-containing complex
Q9BVC5,Component,nucleoplasm
Q9BVC5,Component,tRNA-splicing ligase complex
Q92484,Component,extracellular exosome
Q92484,Component,extracellular space
Q92485,Component,anchored component of membrane
Q92485,Component,extracellular exosome
Q92485,Component,extracellular space
Q92485,Component,plasma membrane
O95671,Component,cytosol
P46597,Component,cytosol
O43681,Component,cytoplasm
O43681,Component,endoplasmic reticulum membrane
O43681,Component,extracellular exosome
O43681,Component,GET complex
O43681,Component,nucleolus
O43681,Component,nucleus
P0C7P0,Component,mitochondrion
Q9BZE9,Component,cytoplasmic side of plasma membrane
Q9BZE9,Component,cytosol
Q9BZE9,Component,endomembrane system
Q9BZE9,Component,endoplasmic reticulum-Golgi intermediate compartment membrane
Q9BZE9,Component,extrinsic component of membrane
Q9BZE9,Component,intracellular membrane-bounded organelle
Q9BZE9,Component,nucleoplasm
Q9BZE9,Component,perinuclear region of cytoplasm
Q9BZE9,Component,plasma membrane
Q9BZE9,Component,vesicle membrane
P20933,Component,azurophil granule lumen
P20933,Component,cytoplasm
P20933,Component,endoplasmic reticulum
P20933,Component,extracellular region
P20933,Component,extracellular space
P20933,Component,lysosome
Q96KQ4,Component,cytoplasm
Q96KQ4,Component,cytosol
Q96KQ4,Component,mitochondrion
Q96KQ4,Component,nucleoplasm
Q96KQ4,Component,nucleus
Q96KQ4,Component,plasma membrane
Q13625,Component,cell junction
Q13625,Component,cytoplasm
Q13625,Component,cytosol
Q13625,Component,mitochondrion
Q13625,Component,nucleoplasm
Q13625,Component,nucleus
Q13625,Component,perinuclear region of cytoplasm
Q12797,Component,calcium channel complex
Q12797,Component,cell
Q12797,Component,cortical endoplasmic reticulum
Q12797,Component,endoplasmic reticulum
Q12797,Component,endoplasmic reticulum membrane
Q12797,Component,integral component of endoplasmic reticulum membrane
Q12797,Component,integral component of membrane
Q12797,Component,junctional sarcoplasmic reticulum membrane
Q12797,Component,plasma membrane
Q12797,Component,sarcoplasmic reticulum lumen
Q12797,Component,sarcoplasmic reticulum membrane
Q99966,Component,cytoplasm
Q99966,Component,cytosol
Q99966,Component,nucleoplasm
Q99966,Component,nucleus
Q99967,Component,cytoplasm
Q99967,Component,nuclear chromatin
Q99967,Component,nucleoplasm
Q99967,Component,nucleus
Q99967,Component,protein-containing complex
Q96RK1,Component,cytoplasm
Q96RK1,Component,nucleoplasm
Q96RK1,Component,nucleus
Q5T742,Component,extracellular region
Q9H5F2,Component,nucleoplasm
Q9H5F2,Component,nucleus
Q9P2W6,Component,cytoplasm
Q8N8P7,Component,extracellular region
Q8TAV5,Component,extracellular region
Q96A22,Component,extracellular exosome
Q9H0W9,Component,extracellular exosome
Q9H0W9,Component,nuclear body
Q9H0W9,Component,nucleoplasm
Q9H0W9,Component,nucleus
A0A1B0GVM6,Component,ciliary basal body
A0A1B0GVM6,Component,ciliary base
A0A1B0GVM6,Component,cytoplasm
Q96JB5,Component,centrosome
Q96JB5,Component,cytoplasm
Q96JB5,Component,cytosol
Q96JB5,Component,membrane
Q96JB5,Component,nucleolus
Q96JB5,Component,nucleus
Q96JB5,Component,protein-containing complex
Q8IZ96,Component,extracellular space
Q8IZ96,Component,integral component of membrane
Q96MX0,Component,cytoplasm
Q96MX0,Component,extracellular space
Q96MX0,Component,integral component of membrane
Q96MX0,Component,nuclear membrane
Q8IZR5,Component,integral component of membrane
Q96DZ9,Component,extracellular space
Q96DZ9,Component,integral component of membrane
Q9NX76,Component,azurophil granule membrane
Q9NX76,Component,early endosome membrane
Q9NX76,Component,integral component of membrane
Q9NX76,Component,membrane
Q9NX76,Component,plasma membrane
Q9NX76,Component,recycling endosome membrane
Q9NX76,Component,specific granule membrane
Q9H741,Component,extracellular region
Q8NA57,Component,cell
Q96M19,Component,integral component of membrane
Q69YU5,Component,extracellular region
A5D8T8,Component,endoplasmic reticulum
A5D8T8,Component,endosome
A5D8T8,Component,extracellular space
A5D8T8,Component,Golgi apparatus
Q6UXF7,Component,endosome
Q6UXF7,Component,extracellular space
Q6UXF7,Component,Golgi apparatus
Q6UXF7,Component,sarcoplasmic reticulum
Q7Z460,Component,basal cortex
Q7Z460,Component,cell cortex
Q7Z460,Component,centrosomal corona
Q7Z460,Component,centrosome
Q7Z460,Component,condensed chromosome kinetochore
Q7Z460,Component,cortical microtubule cytoskeleton
Q7Z460,Component,cytoplasmic microtubule
Q7Z460,Component,cytosol
Q7Z460,Component,Golgi apparatus
Q7Z460,Component,kinetochore
Q7Z460,Component,kinetochore microtubule
Q7Z460,Component,membrane
Q7Z460,Component,microtubule plus-end
Q7Z460,Component,spindle microtubule
Q96F83,Component,cell
Q8IUN9,Component,integral component of membrane
Q8IUN9,Component,plasma membrane
Q9Y240,Component,cytoplasm
Q9Y240,Component,extracellular region
Q9Y240,Component,extracellular space
Q6UVW9,Component,integral component of membrane
Q6UVW9,Component,plasma membrane
Q92478,Component,integral component of plasma membrane
Q92478,Component,plasma membrane
Q8TER5,Component,cytoplasm
Q96CF2,Component,cytosol
Q96CF2,Component,ESCRT III complex
Q96CF2,Component,Flemming body
Q96CF2,Component,late endosome membrane
Q96CF2,Component,midbody
Q9H2X0,Component,extracellular space
Q86X52,Component,extracellular region
Q86X52,Component,Golgi cisterna membrane
Q86X52,Component,Golgi membrane
Q86X52,Component,integral component of membrane
Q86X52,Component,membrane
Q70JA7,Component,Golgi cisterna membrane
Q70JA7,Component,Golgi membrane
Q70JA7,Component,integral component of membrane
Q9Y4C5,Component,Golgi apparatus
Q9Y4C5,Component,Golgi membrane
Q9Y4C5,Component,integral component of membrane
Q9Y4C5,Component,intrinsic component of Golgi membrane
Q9Y4C5,Component,trans-Golgi network
Q7LGC8,Component,Golgi membrane
Q7LGC8,Component,integral component of membrane
Q7LGC8,Component,trans-Golgi network
Q8NCG5,Component,Golgi membrane
Q8NCG5,Component,integral component of membrane
Q8NCG5,Component,intrinsic component of Golgi membrane
Q8NCG5,Component,trans-Golgi network
O43529,Component,Golgi apparatus
O43529,Component,Golgi membrane
O43529,Component,integral component of membrane
O43529,Component,membrane
Q8NCH0,Component,extracellular exosome
Q8NCH0,Component,Golgi membrane
Q8NCH0,Component,integral component of membrane
Q9Y3Y2,Component,cytoplasmic ribonucleoprotein granule
Q9Y3Y2,Component,nuclear speck
Q9Y3Y2,Component,nucleolus
Q9Y3Y2,Component,nucleoplasm
Q9Y3Y2,Component,transcription export complex
Q9UBL0,Component,cytoplasm
P61160,Component,actin cap
P61160,Component,actin cytoskeleton
P61160,Component,Arp2/3 protein complex
P61160,Component,azurophil granule lumen
P61160,Component,cytoplasm
P61160,Component,cytosol
P61160,Component,extracellular exosome
P61160,Component,extracellular region
P61160,Component,ficolin-1-rich granule lumen
P61160,Component,focal adhesion
P61160,Component,invadopodium
P61160,Component,lamellipodium
P61160,Component,membrane
P61160,Component,nucleus
P61160,Component,podosome core
P61160,Component,postsynaptic density
P61160,Component,site of double-strand break
Q9H9F9,Component,cytoplasm
Q9H9F9,Component,Ino80 complex
Q9H9F9,Component,nucleoplasm
Q9H9F9,Component,nucleus
Q9GZN1,Component,cytoplasm
Q9GZN1,Component,cytoskeleton
Q9GZN1,Component,nucleus
Q9H981,Component,centrosome
Q9H981,Component,Ino80 complex
Q9H981,Component,nucleoplasm
Q9H981,Component,nucleus
Q9H5X1,Component,CIA complex
Q9H5X1,Component,cytosol
Q9H5X1,Component,nucleoplasm
Q9H5X1,Component,nucleus
Q9Y3D0,Component,CIA complex
Q9Y3D0,Component,cytoplasm
Q9Y3D0,Component,cytosol
Q9Y3D0,Component,MMXD complex
Q9Y3D0,Component,nucleoplasm
Q9Y3D0,Component,nucleus
Q9Y3D0,Component,spindle
Q8N5I2,Component,cytoplasmic vesicle
Q8N5I2,Component,extracellular exosome
Q8N5I2,Component,extracellular vesicle
Q8N5I2,Component,plasma membrane
O76071,Component,CIA complex
O76071,Component,cytoplasm
O76071,Component,MMXD complex
Q8NCT1,Component,early endosome
Q8NCT1,Component,endosome
Q8NCT1,Component,extracellular vesicle
Q8NCT1,Component,plasma membrane
Q9H6Q4,Component,CIA complex
P10523,Component,cytosol
P10523,Component,membrane
P10523,Component,photoreceptor inner segment
P10523,Component,photoreceptor outer segment
O15145,Component,actin cytoskeleton
O15145,Component,Arp2/3 protein complex
O15145,Component,cytosol
O15145,Component,extracellular exosome
O15145,Component,filamentous actin
O15145,Component,focal adhesion
O15145,Component,growth cone leading edge
O15145,Component,lamellipodium
O15145,Component,membrane
O15145,Component,nucleus
O15145,Component,site of double-strand break
P59998,Component,Arp2/3 protein complex
P59998,Component,cell projection
P59998,Component,cytosol
P59998,Component,extracellular exosome
P59998,Component,nucleus
P59998,Component,site of double-strand break
O15511,Component,actin cytoskeleton
O15511,Component,Arp2/3 protein complex
O15511,Component,cytoplasm
O15511,Component,cytosol
O15511,Component,endosome
O15511,Component,extracellular exosome
O15511,Component,extracellular region
O15511,Component,ficolin-1-rich granule lumen
O15511,Component,focal adhesion
O15511,Component,growth cone
O15511,Component,lamellipodium
O15511,Component,nucleus
O15511,Component,secretory granule lumen
O15511,Component,site of double-strand break
Q5FYB1,Component,endoplasmic reticulum lumen
Q5FYB1,Component,extracellular region
Q5T4W7,Component,extracellular region
Q5T4W7,Component,extracellular space
Q9UHD4,Component,cytosol
Q9UHD4,Component,lipid droplet
Q9UHD4,Component,perinuclear region of cytoplasm
O00192,Component,cell-cell adherens junction
O00192,Component,cell-cell junction
O00192,Component,cytoplasm
O00192,Component,intracellular
O00192,Component,nucleus
O00192,Component,plasma membrane
Q96QS3,Component,nucleus
Q9Y575,Component,cytosol
Q9ULH1,Component,cell projection membrane
Q9ULH1,Component,cytosol
Q9ULH1,Component,dendritic spine
Q9ULH1,Component,plasma membrane
Q9ULH1,Component,podosome
Q9H672,Component,cytosol
Q9H765,Component,cytosol
Q8TDY4,Component,cytosol
Q8TDY4,Component,focal adhesion
Q8TDY4,Component,intracellular membrane-bounded organelle
Q8TDY4,Component,nucleoplasm
Q8TDY4,Component,ruffle
Q8WXK4,Component,cytosol
Q8WXK4,Component,ubiquitin ligase complex
Q8WXK3,Component,cytosol
Q9Y5C1,Component,cell surface
Q9Y5C1,Component,early endosome
Q9Y5C1,Component,extracellular region
Q9Y5C1,Component,extracellular space
Q9Y5C1,Component,Golgi apparatus
Q9Y5C1,Component,lamellipodium
A6NL99,Component,integral component of membrane
P05089,Component,azurophil granule lumen
P05089,Component,cytoplasm
P05089,Component,cytosol
P05089,Component,extracellular region
P05089,Component,extracellular space
P05089,Component,mitochondrial outer membrane
P05089,Component,neuron projection
P05089,Component,neuronal cell body
P05089,Component,nucleus
P05089,Component,specific granule lumen
P56559,Component,cytoplasm
P56559,Component,cytosol
P56559,Component,filopodium
P56559,Component,nucleus
P56559,Component,plasma membrane
Q92974,Component,bicellular tight junction
Q92974,Component,cytoplasm
Q92974,Component,cytoplasmic vesicle
Q92974,Component,cytoskeleton
Q92974,Component,cytosol
Q92974,Component,dendritic shaft
Q92974,Component,focal adhesion
Q92974,Component,glutamatergic synapse
Q92974,Component,Golgi apparatus
Q92974,Component,microtubule
Q92974,Component,neuronal cell body
Q92974,Component,podosome
Q92974,Component,"postsynaptic density, intracellular component"
Q92974,Component,protein-containing complex
Q92974,Component,ruffle membrane
Q92974,Component,spindle
Q92974,Component,vesicle
Q9NVJ2,Component,cytoplasm
Q9NVJ2,Component,extracellular exosome
Q9NVJ2,Component,late endosome membrane
Q9NVJ2,Component,lysosomal membrane
Q9NVJ2,Component,membrane
Q9NVJ2,Component,midbody
Q9NVJ2,Component,spindle midzone
Q9NVJ2,Component,vacuolar membrane
Q14155,Component,cell cortex
Q14155,Component,cytosol
Q14155,Component,focal adhesion
Q14155,Component,lamellipodium
Q14155,Component,neuron projection
Q14155,Component,neuronal cell body
Q14155,Component,plasma membrane
Q14155,Component,protein-containing complex
Q14155,Component,ruffle
Q14155,Component,storage vacuole
Q9H2A9,Component,Golgi membrane
Q9H2A9,Component,integral component of membrane
Q7L1S5,Component,extracellular region
Q7L1S5,Component,Golgi membrane
Q7L1S5,Component,integral component of membrane
Q9NRB3,Component,Golgi membrane
Q9NRB3,Component,integral component of Golgi membrane
Q9NRB3,Component,membrane
Q7LFX5,Component,Golgi membrane
Q7LFX5,Component,integral component of membrane
Q5BN46,Component,nucleus
Q5T035,Component,nucleus
Q5VTT2,Component,cytoplasm
Q5VTT2,Component,integral component of membrane
Q5VTT2,Component,plasma membrane
Q9Y375,Component,cytosol
Q9Y375,Component,mitochondrial inner membrane
Q9Y375,Component,mitochondrial respiratory chain complex I
Q9Y375,Component,mitochondrion
Q8TBH0,Component,cytoplasmic vesicle
Q8TBH0,Component,plasma membrane
P15289,Component,azurophil granule lumen
P15289,Component,endoplasmic reticulum lumen
P15289,Component,extracellular exosome
P15289,Component,extracellular region
P15289,Component,lysosomal lumen
P15289,Component,lysosome
O75838,Component,blood microparticle
O75838,Component,cuticular plate
O75838,Component,cytoplasm
O75838,Component,muscle tendon junction
O75838,Component,neuromuscular junction
O75838,Component,photoreceptor inner segment
O75838,Component,photoreceptor outer segment
O75838,Component,sarcolemma
O75838,Component,stereocilium
P51690,Component,endoplasmic reticulum lumen
P51690,Component,extracellular exosome
P51690,Component,Golgi apparatus
P51690,Component,Golgi stack
Q5FYA8,Component,endoplasmic reticulum lumen
Q5FYA8,Component,integral component of membrane
O60543,Component,cytoplasm
O60543,Component,cytosol
O60543,Component,lipid droplet
O60543,Component,mitochondrial envelope
O60543,Component,mitochondrion
O60543,Component,nucleus
Q9H2C2,Component,cortical endoplasmic reticulum
Q9H2C2,Component,endoplasmic reticulum membrane
Q9H2C2,Component,Golgi apparatus
Q9H2C2,Component,integral component of membrane
Q96AQ7,Component,cytosol
Q96AQ7,Component,endoplasmic reticulum
Q96AQ7,Component,lipid droplet
Q96AQ7,Component,nucleus
Q9HBK9,Component,cytosol
O75339,Component,collagen-containing extracellular matrix
O75339,Component,extracellular exosome
O75339,Component,extracellular space
P18440,Component,cytosol
P11245,Component,cytosol
Q13510,Component,extracellular exosome
Q13510,Component,extracellular region
Q13510,Component,extracellular space
Q13510,Component,ficolin-1-rich granule lumen
Q13510,Component,lysosomal lumen
Q13510,Component,tertiary granule lumen
Q9Y574,Component,Cul2-RING ubiquitin ligase complex
Q9Y574,Component,Cul5-RING ubiquitin ligase complex
Q9Y574,Component,cytosol
O43150,Component,Golgi cisterna membrane
O43150,Component,plasma membrane
Q96DX5,Component,cytosol
Q96DX5,Component,mitochondrion
Q8WXI3,Component,cytoplasm
Q8WXI3,Component,cytosol
Q8WXI3,Component,nucleus
Q9H1I8,Component,activating signal cointegrator 1 complex
Q9H1I8,Component,nuclear speck
Q9H1I8,Component,nucleoplasm
Q9H1I8,Component,nucleus
Q8N3C0,Component,activating signal cointegrator 1 complex
Q8N3C0,Component,cytosol
Q8N3C0,Component,intracellular
Q8N3C0,Component,membrane
Q8N3C0,Component,nuclear speck
Q8N3C0,Component,nucleoplasm
Q8N3C0,Component,nucleus
P50553,Component,neuronal cell body
P50553,Component,nucleus
P50553,Component,RNA polymerase II transcription factor complex
Q9NQ33,Component,RNA polymerase II transcription factor complex
Q6XD76,Component,RNA polymerase II transcription factor complex
Q9ULZ3,Component,AIM2 inflammasome complex
Q9ULZ3,Component,azurophil granule lumen
Q9ULZ3,Component,cytoplasm
Q9ULZ3,Component,cytosol
Q9ULZ3,Component,endoplasmic reticulum
Q9ULZ3,Component,extracellular region
Q9ULZ3,Component,IkappaB kinase complex
Q9ULZ3,Component,mitochondrion
Q9ULZ3,Component,neuronal cell body
Q9ULZ3,Component,NLRP1 inflammasome complex
Q9ULZ3,Component,NLRP3 inflammasome complex
Q9ULZ3,Component,nucleolus
Q9ULZ3,Component,nucleus
Q9ULZ3,Component,secretory granule lumen
Q9BW66,Component,nucleus
Q15642,Component,cell cortex
Q15642,Component,cell projection
Q15642,Component,cytoplasm
Q15642,Component,cytoskeleton
Q15642,Component,cytosol
Q15642,Component,extracellular exosome
Q15642,Component,Golgi apparatus
Q15642,Component,intracellular membrane-bounded organelle
Q15642,Component,lysosome
Q15642,Component,nucleoplasm
Q15642,Component,perinuclear region of cytoplasm
Q15642,Component,phagocytic cup
Q9Y576,Component,cytosol
Q9Y576,Component,ubiquitin ligase complex
Q9C0C6,Component,cytosol
Q9C0C6,Component,nucleus
Q96Q27,Component,cytosol
Q96Q27,Component,ubiquitin ligase complex
O95996,Component,actin filament
O95996,Component,beta-catenin destruction complex
O95996,Component,catenin complex
O95996,Component,cytoplasm
O95996,Component,cytosol
O95996,Component,Golgi apparatus
O95996,Component,intercellular bridge
O95996,Component,lamellipodium membrane
O95996,Component,microtubule
O95996,Component,microtubule cytoskeleton
O95996,Component,midbody
O95996,Component,perinuclear region of cytoplasm
O95996,Component,postsynapse
Q8IW19,Component,cytosol
Q8IW19,Component,nucleoplasm
Q8IW19,Component,nucleus
Q8IW19,Component,site of double-strand break
O00203,Component,AP-3 adaptor complex
O00203,Component,axon cytoplasm
O00203,Component,clathrin adaptor complex
O00203,Component,clathrin-coated vesicle membrane
O00203,Component,Golgi apparatus
O00203,Component,lysosomal membrane
O00203,Component,membrane
O00203,Component,postsynapse
O14727,Component,apoptosome
O14727,Component,cytosol
O14727,Component,extracellular exosome
O14727,Component,extracellular region
O14727,Component,ficolin-1-rich granule lumen
O14727,Component,nucleus
O14727,Component,protein-containing complex
O14727,Component,secretory granule lumen
P06727,Component,blood microparticle
P06727,Component,chylomicron
P06727,Component,collagen-containing extracellular matrix
P06727,Component,cytosol
P06727,Component,early endosome
P06727,Component,endoplasmic reticulum lumen
P06727,Component,extracellular exosome
P06727,Component,extracellular region
P06727,Component,extracellular space
P06727,Component,high-density lipoprotein particle
P06727,Component,very-low-density lipoprotein particle
Q13794,Component,cytosol
Q13794,Component,mitochondrial outer membrane
Q13794,Component,mitochondrion
Q13794,Component,nucleus
Q8N6S5,Component,integral component of membrane
Q8IWT0,Component,nucleoplasm
Q8IWT0,Component,tRNA-splicing ligase complex
P25098,Component,cilium
P25098,Component,cytoplasm
P25098,Component,cytosol
P25098,Component,membrane
P25098,Component,plasma membrane
Q7LC44,Component,acrosomal vesicle
Q7LC44,Component,actin cytoskeleton
Q7LC44,Component,cell cortex
Q7LC44,Component,cell junction
Q7LC44,Component,cytoplasm
Q7LC44,Component,dendritic spine
Q7LC44,Component,early endosome membrane
Q7LC44,Component,extracellular vesicle
Q7LC44,Component,glutamatergic synapse
Q7LC44,Component,membrane raft
Q7LC44,Component,neuronal cell body
Q7LC44,Component,plasma membrane
Q7LC44,Component,postsynaptic density membrane
Q7LC44,Component,postsynaptic endosome
P62330,Component,cell cortex
P62330,Component,cleavage furrow
P62330,Component,cytoplasm
P62330,Component,cytosol
P62330,Component,early endosome
P62330,Component,endocytic vesicle
P62330,Component,endosome
P62330,Component,extracellular exosome
P62330,Component,filopodium membrane
P62330,Component,Flemming body
P62330,Component,focal adhesion
P62330,Component,glutamatergic synapse
P62330,Component,membrane
P62330,Component,myelin sheath
P62330,Component,plasma membrane
P62330,Component,presynapse
P62330,Component,recycling endosome membrane
P62330,Component,ruffle
P18085,Component,cytoplasm
P18085,Component,cytosol
P18085,Component,dendritic spine
P18085,Component,extracellular exosome
P18085,Component,glutamatergic synapse
P18085,Component,Golgi apparatus
P18085,Component,membrane
P18085,Component,plasma membrane
P18085,Component,ruffle membrane
A6NJG6,Component,nucleus
Q9HCE6,Component,cytosol
Q9NXL2,Component,cytoplasm
P06276,Component,blood microparticle
P06276,Component,endoplasmic reticulum lumen
P06276,Component,extracellular region
P06276,Component,membrane
P06276,Component,nuclear envelope lumen
Q9Y2V2,Component,cytoplasm
Q9Y2V2,Component,cytoplasmic exosome (RNase complex)
Q9Y2V2,Component,cytosol
Q9Y2V2,Component,P granule
Q9Y2V2,Component,P-body
Q9GZS9,Component,Golgi apparatus
Q9GZS9,Component,Golgi membrane
Q9GZS9,Component,integral component of membrane
Q9GZS9,Component,intrinsic component of Golgi membrane
Q9GZS9,Component,trans-Golgi network
Q9NS84,Component,Golgi membrane
Q9NS84,Component,integral component of membrane
Q9NS84,Component,trans-Golgi network
Q8NET6,Component,Golgi membrane
